ID,Date of Complaint,Engineer Requested Date,Date of Sale of Device,Issue Raised by Customer,Vehicle Sale Date,Active Profile,C Trigger Date,Commercial Expiry Date,Complaint Raised by,Complaint Raised Name,Complaint Raised Through,Configuration,Contact Number,Device ICCID,Device IMEI,Device Model,Device PSN,Engineer Recommendation,External Modification,Firmware,First Communication in Darby,HOD Remarks,Issue Analysis,Issue Description,Issue Identified,Kilometers Hours,Last Communication on Darby,Main Battery Voltage,Manager Remarks,S Trigger Date,Service Engineer Name,Telco Status,Vehicle Running Location,Vehicle Support Date,Vehicle Type,VIN Number,Resolved or Not,Engineer Email,HOD Approval Status,HOD Approval Datetime,Vehicle Run,Manager Email,Device to be Sent,Call Status,Final Action Taken,Final Call Status,Date of Closure,Manager Approval Status,Manager Approval Datetime,Unique ID
1,2025-03-23 15:41:00,N/A,2025-03-06 00:00:00,Samuya,2025-03-11 00:00:00,Airtel,2025-03-19 19:41:00,2025-03-20 00:00:00,Customer,Samuya,Mail,Operational Mode,09390540794,,,DL545,2407047122,Replace,"Air Horn, None, Alt-Device",M153,2025-03-16 19:41:00,IOJ,Sim Expired,fe,NRD,67,2025-03-27 19:41:00,24.0,erw,2025-03-13 18:41:00,Siva,Bootstrap,342,2025-03-23 19:41:00,Boss,43234ewfr33432,No,mulaupendra@outlook.com,Pending,N/A,Hours,upendram@danlawtech.com,Hyderabad,Closed,,--,N/A,Pending,N/A,S25030000
2,2025-03-20 15:42:00,N/A,N/A,Samuya,N/A,BSNL,N/A,N/A,--,Samuya,--,--,09390540794,,,--,2407047122,--,,M153,N/A,IOJ,--,fe,--,67,N/A,24.0,erw,N/A,--,--,342,N/A,--,43234ewfr33432,Yes,mulaupendra@outlook.com,Pending,N/A,--,,--,Pending,,--,N/A,Pending,N/A,-25030000
3,2025-03-13 15:57:00,N/A,N/A,Samuya,N/A,--,N/A,N/A,--,Samuya,I-Alert,--,09390540794,,,--,2407047122,--,,M153,2025-03-20 15:54:00,,--,,--,67,2025-03-23 15:54:00,24.0,,N/A,Siva,--,342,N/A,--,43234ewfr33432,Yes,,Pending,N/A,--,,--,Pending,,--,N/A,Pending,N/A,S25030001
4,2025-03-21 19:54:00,N/A,2025-03-11 00:00:00,Samuya,N/A,--,N/A,N/A,AL Field,Samuya,I-Alert,Plant Mode,09390540794,,,others,2407047122,--,,M153,N/A,,--,,--,67,N/A,24.0,,N/A,Anil,Bootstrap,342,N/A,--,43234ewfr33432,Yes,,Pending,N/A,--,,--,Pending,,--,N/A,Pending,N/A,A25030000
5,2025-03-14 20:09:00,N/A,N/A,Samuya,N/A,--,N/A,N/A,Dealer,Samuya,Mail,--,09390540794,,,--,2407047122,--,,M153,N/A,,--,,--,67,N/A,24.0,,N/A,Siva,--,342,N/A,--,43234ewfr33432,Yes,,Pending,N/A,--,,--,Pending,,--,N/A,Pending,N/A,S25030002
6,2025-03-20 00:10:00,N/A,N/A,Samuya,N/A,--,N/A,N/A,Customer,Samuya,Mail,--,09390540794,,,DL545,2407047122,--,,M153,N/A,,--,,--,67,N/A,24.0,,N/A,Anil,--,342,N/A,--,43234ewfr33432,Yes,,Pending,N/A,--,,--,Pending,,--,N/A,Pending,N/A,A25030001
7,2025-03-21 16:22:00,N/A,N/A,Samuya,N/A,--,N/A,N/A,--,Samuya,--,--,09390540794,123456789012345678,123456754324567,--,2407047122,--,,M153,N/A,IOJ,--,fe,--,67,N/A,24.0,erw,N/A,--,--,342,N/A,--,43234ewfr33432,Yes,mulaupendra@outlook.com,Pending,N/A,--,,--,Pending,,--,N/A,Pending,N/A,-25030001
8,2025-03-20 21:29:00,N/A,N/A,Samuya,2025-03-11 00:00:00,Airtel,N/A,N/A,--,Samuya,--,--,09390540794,,,--,2407047122,--,,M153,N/A,,--,,--,67,N/A,24.0,,N/A,--,--,342,N/A,--,43234ewfr33432,Yes,,Pending,N/A,--,,--,Pending,,--,N/A,Pending,N/A,-25030002
9,2025-03-19 16:29:00,N/A,N/A,Samuya,N/A,--,N/A,N/A,Customer,Samuya,--,--,09390540794,,,--,2407047122,--,,M153,N/A,,--,,--,67,N/A,24.0,,N/A,Siva,--,342,N/A,--,43234ewfr33432,Yes,,Pending,N/A,--,,--,Pending,,--,N/A,Pending,N/A,S25030003
10,2025-03-22 16:35:00,N/A,N/A,Samuya,N/A,--,N/A,N/A,AL Field,Samuya,--,--,09390540794,123456789012345678,123456754324567,--,2407047122,--,,M153,N/A,IOJ,--,7UTYU,--,67,N/A,24.0,erw,N/A,others,--,342,N/A,--,43234ewfr33432,Yes,mulaupendra@outlook.com,Pending,N/A,--,,--,Pending,,--,N/A,Pending,N/A,O25030000
11,N/A,N/A,N/A,Samuya,N/A,--,N/A,N/A,Customer,Samuya,Mail,--,09390540794,123456789012345678,123456754324567,--,2407047122,--,,M153,N/A,IOJ,--,7UTYU,--,67,N/A,24.0,erw,N/A,Rishwanth,--,342,N/A,--,43234ewfr33432,Yes,mulaupendra@outlook.com,Pending,N/A,--,,--,Pending,,--,N/A,Pending,N/A,R25030000
