Date of Complaint,Centralised ID,Unique ID,Customer Raised Issue,Complaint Raised By,Complaint Raised Name,Contact Number,Complaint Raised Through,Service Engineer Name,Device Model,Device PSN,VIN Number,Firmware,Configuration,Device IMEI,Device ICCID,Date of Sale of Device,Telco Status,Active Profile,Vehicle Sale Date,S Trigger Date,C Trigger Date,Commercial Expiry Date,First Communication in Darby,Last Communication in Darby,Vehicle Type,Vehicle Running Location,Vehicle Run,Kilometers/Hours,Main Battery Voltage,Vehicle Support Date,Issue Identified,External Modification,Issue Analysis,Resolved or Not,Issue Description,Engineer Recommendation,Engineer Email,Manager Remarks,Manager Email,Manager Approval Datetime,HOD Remarks,HOD Approval Status,HOD Approval Datetime,Device to be Sent,Upload File,Unique ID
2025-03-23 15:41:00,,S25030000,Samuya,Customer,Samuya,09390540794,Mail,Siva,DL545,2407047122,43234ewfr33432,M153,Operational Mode,,,2025-03-06 00:00:00,Bootstrap,Airtel,2025-03-11 00:00:00,2025-03-13 18:41:00,2025-03-19 19:41:00,2025-03-20 00:00:00,2025-03-16 19:41:00,2025-03-27 19:41:00,Boss,342,Hours,67,24.0,2025-03-23 19:41:00,NRD,"Air Horn, None, Alt-Device",Sim Expired,No,fe,Replace,mulaupendra@outlook.com,erw,upendram@danlawtech.com,N/A,IOJ,Pending,N/A,Hyderabad,N/A,S25030000
2025-03-20 15:42:00,,-25030000,Samuya,--,Samuya,09390540794,--,--,--,2407047122,43234ewfr33432,M153,--,,,N/A,--,BSNL,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,Yes,fe,--,mulaupendra@outlook.com,erw,,N/A,IOJ,Pending,N/A,--,N/A,-25030000
2025-03-13 15:57:00,,S25030001,Samuya,--,Samuya,09390540794,I-Alert,Siva,--,2407047122,43234ewfr33432,M153,--,,,N/A,--,--,N/A,N/A,N/A,N/A,2025-03-20 15:54:00,2025-03-23 15:54:00,--,342,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,S25030001
2025-03-21 19:54:00,,A25030000,Samuya,AL Field,Samuya,09390540794,I-Alert,Anil,others,2407047122,43234ewfr33432,M153,Plant Mode,,,2025-03-11 00:00:00,Bootstrap,--,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,A25030000
2025-03-14 20:09:00,,S25030002,Samuya,Dealer,Samuya,09390540794,Mail,Siva,--,2407047122,43234ewfr33432,M153,--,,,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,S25030002
2025-03-20 00:10:00,,A25030001,Samuya,Customer,Samuya,09390540794,Mail,Anil,DL545,2407047122,43234ewfr33432,M153,--,,,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,A25030001
2025-03-21 16:22:00,,-25030001,Samuya,--,Samuya,09390540794,--,--,--,2407047122,43234ewfr33432,M153,--,123456754324567,123456789012345678,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,Yes,fe,--,mulaupendra@outlook.com,erw,,N/A,IOJ,Pending,N/A,--,N/A,-25030001
2025-03-20 21:29:00,,-25030002,Samuya,--,Samuya,09390540794,--,--,--,2407047122,43234ewfr33432,M153,--,,,N/A,--,Airtel,2025-03-11 00:00:00,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,-25030002
2025-03-19 16:29:00,,S25030003,Samuya,Customer,Samuya,09390540794,--,Siva,--,2407047122,43234ewfr33432,M153,--,,,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,Yes,,--,,,,N/A,,Pending,N/A,--,N/A,S25030003
2025-03-22 16:35:00,,O25030000,Samuya,AL Field,Samuya,09390540794,--,others,--,2407047122,43234ewfr33432,M153,--,123456754324567,123456789012345678,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,Yes,7UTYU,--,mulaupendra@outlook.com,erw,,N/A,IOJ,Pending,N/A,--,N/A,O25030000
N/A,,R25030000,Samuya,Customer,Samuya,09390540794,Mail,Rishwanth,--,2407047122,43234ewfr33432,M153,--,123456754324567,123456789012345678,N/A,--,--,N/A,N/A,N/A,N/A,N/A,N/A,--,342,--,67,24.0,N/A,--,,--,Yes,7UTYU,--,mulaupendra@outlook.com,erw,,N/A,IOJ,Pending,N/A,--,N/A,R25030000
2025-03-28 16:52:00,,S25030004,Samuya,AL Field,Samuya,21333435435,Mail,Siva,others,2407047122,43234ewfr33432,M153,Operational Mode,,,2025-03-11 00:00:00,Commercial,BSNL,2025-03-20 00:00:00,2025-03-25 16:53:00,2025-03-12 20:53:00,2025-03-21 00:00:00,2025-03-19 16:53:00,2025-03-21 16:57:00,E-com,342,Hours,67,24.0,2025-03-16 16:53:00,Latency,"Air Horn, None, Alt-Device",SW-Issue,No,7UTYU,Replace,mulaupendra@outlook.com,erw,upendram@danlawtech.com,N/A,IOJ,Pending,N/A,Chennai,N/A,S25030004
